FLTID,REG,ICAO24,TYPE,OPR,ADEP,ADES,LOBT,AOBT_3,ARVT_3
EZY47KU,GEZAF,400D90,A319,EZY,EDDH,EGCC,2020-03-19T16:02:00Z,2020-03-19T16:01:00Z,2020-03-19T17:36:39Z
TOM8CE,GOOBA,40090D,B752,TOM,GCLP,EGKK,2020-03-19T16:04:00Z,2020-03-19T16:28:00Z,2020-03-19T20:22:56Z
AFL2695,VPBFQ,424350,A321,AFL,EHAM,UUEE,2020-03-19T16:05:00Z,2020-03-19T16:13:00Z,2020-03-19T19:10:00Z
AFL2315,RA89032,155BC8,SU95,AFL,EDDB,UUEE,2020-03-19T16:05:00Z,2020-03-19T16:28:00Z,2020-03-19T18:44:00Z
JTG094,OYJZL,45AB4C,B738,JTG,GMMX,EKCH,2020-03-19T16:05:00Z,2020-03-19T16:13:00Z,2020-03-19T20:10:18Z
DTR49K,OYJRY,45AA59,AT43,DTR,EKRN,EKCH,2020-03-19T16:05:00Z,2020-03-19T16:02:00Z,2020-03-19T16:34:00Z
AUR508,GOAUR,406F9F,D228,AUR,EGHI,EGJA,2020-03-19T16:05:00Z,2020-03-19T15:46:00Z,2020-03-19T16:26:28Z
LOG51VC,GLGNJ,NA,SF34,LOG,EGPL,EGPO,2020-03-19T16:05:00Z,2020-03-19T16:05:00Z,2020-03-19T16:29:46Z
TAP1938,CSTTZ,49529A,E195,TAP,LPPT,LPPR,2020-03-19T16:05:00Z,2020-03-19T16:12:00Z,2020-03-19T16:55:19Z
IBB3VD,ECNGG,346345,AT76,IBB,GCLA,GCLP,2020-03-19T16:05:00Z,2020-03-19T15:53:00Z,2020-03-19T16:37:43Z
JON33,SEKVL,4AAECC,BE20,ZZZ,ESND,ESSA,2020-03-19T16:05:00Z,2020-03-19T16:00:00Z,2020-03-19T16:55:37Z
EZY256,GUZHM,407567,A20N,EZY,EGAA,EGSS,2020-03-19T16:05:00Z,2020-03-19T16:10:00Z,2020-03-19T17:19:08Z
EJU47EP,OELKK,44061B,A319,EJU,EDDB,LFMN,2020-03-19T16:05:00Z,2020-03-19T15:56:00Z,2020-03-19T17:43:08Z
TRA62W,PHHXJ,4853D3,B738,TRA,EHEH,LEAL,2020-03-19T16:05:00Z,2020-03-19T16:00:00Z,2020-03-19T18:22:26Z
WIF53X,LNWIM,NA,DH8A,WIF,ENGM,ENSG,2020-03-19T16:05:00Z,2020-03-19T15:57:00Z,2020-03-19T16:48:12Z
WIF16U,LNWIE,NA,DH8A,WIF,ENBR,ENML,2020-03-19T16:05:00Z,2020-03-19T15:54:04Z,2020-03-19T16:54:36Z
WIF21W,LNRDV,NA,DH8D,WIF,ENBR,ENTO,2020-03-19T16:05:00Z,2020-03-19T15:57:00Z,2020-03-19T16:41:53Z
WIF84W,LNWIA,NA,DH8A,WIF,ENVA,ENNM,2020-03-19T16:05:00Z,2020-03-19T15:58:00Z,2020-03-19T16:31:32Z
CFG4PH,DAICG,3C6467,A320,CFG,LPMA,EDDF,2020-03-19T16:05:00Z,2020-03-19T15:55:00Z,2020-03-19T19:48:41Z
FIN4TP,OHATL,NA,AT75,FIN,EFKU,EFHK,2020-03-19T16:05:00Z,2020-03-19T15:47:00Z,2020-03-19T16:35:18Z
FIN9LK,OHLKG,461E16,E190,FIN,ESGG,EFHK,2020-03-19T16:05:00Z,2020-03-19T16:00:00Z,2020-03-19T17:10:14Z
RYR2VL,EIEFH,4CA763,B738,RYR,LMML,EGHH,2020-03-19T16:05:00Z,2020-03-19T15:58:00Z,2020-03-19T19:02:32Z
TAP1364,CSTVB,4952C2,A20N,TAP,LPPT,EGLL,2020-03-19T16:05:00Z,2020-03-19T16:14:00Z,2020-03-19T18:40:08Z
SVR3560,VPBSY,424363,A321,SVR,LTAI,UUDD,2020-03-19T16:05:00Z,2020-03-19T15:44:00Z,2020-03-19T19:22:17Z
TAY4267,OEIMD,440196,B738,TAY,LCLK,LGAV,2020-03-19T16:05:00Z,2020-03-19T16:05:00Z,2020-03-19T17:39:24Z
DLH47P,DAINC,3C65C3,A20N,DLH,LPPT,EDDF,2020-03-19T16:05:00Z,2020-03-19T16:26:00Z,2020-03-19T19:17:50Z
PGT38F,TCNCE,NA,A20N,PGT,LTAI,LTFJ,2020-03-19T16:05:00Z,2020-03-19T15:57:00Z,2020-03-19T17:08:00Z
TOM2MH,GOBYH,400757,B763,TOM,GVBA,EGCC,2020-03-19T16:05:00Z,2020-03-19T16:21:00Z,2020-03-19T21:56:20Z
SAS396,SERJR,4AC952,B737,SAS,ENDU,ENGM,2020-03-19T16:05:00Z,2020-03-19T15:53:36Z,2020-03-19T17:33:04Z
SAS78T,LNRGF,47BDFB,B738,SAS,ENTC,ENGM,2020-03-19T16:05:00Z,2020-03-19T15:51:13Z,2020-03-19T17:35:44Z
KLM82W,PHBXM,484165,B738,KLM,ESSA,EHAM,2020-03-19T16:05:00Z,2020-03-19T16:04:00Z,2020-03-19T18:01:29Z
LOT8619,SPLWF,48AE85,B738,LOT,EPWA,ENBR,2020-03-19T16:05:00Z,2020-03-19T16:09:00Z,2020-03-19T18:20:03Z
FIN144,OHLWO,461F56,A359,FIN,VTBS,EFHK,2020-03-19T16:05:00Z,2020-03-19T16:27:00Z,2020-03-20T02:47:04Z
RAM495,CNCOI,02010E,AT76,RAM,GMMH,GMML,2020-03-19T16:05:00Z,2020-03-19T16:01:00Z,2020-03-19T17:16:18Z
LOT8651,SPLMB,48AD81,E190,LOT,EPWA,EGLC,2020-03-19T16:05:00Z,2020-03-19T16:00:00Z,2020-03-19T18:23:00Z
