FLT_UID,LOBT,AIRCRAFT_ID,REGISTRATION,AIRCRAFT_TYPE_ICAO_ID,AIRCRAFT_OPERATOR,ADEP,ADES,ADES_FILED,AOBT_3,ARVT_3,TAXI_TIME_3,RTE_LEN_3,FLT_DUR_3,WK_TBL_CAT,ICAO_FLT_TYPE,OPERATING_AIRCRAFT_OPERATOR,AIRCRAFT_ADDRESS,COUNTRY,REGION
0040361920200101,2020-01-01T01:45:00Z,IBE6650,ECIQR,A346,IBE,SPJC,LEMD,LEMD,2020-01-01T01:52:00Z,2020-01-01T13:07:22Z,10,5202,665,H,S,IBE,34164C,NA,NA
0040202020200101,2020-01-01T02:05:00Z,KLM744,PHBVD,B77W,KLM,SPJC,EHAM,EHAM,2020-01-01T02:13:00Z,2020-01-01T13:50:46Z,10,5734,688,H,S,KLM,484561,NA,NA
0040495220200101,2020-01-01T03:00:00Z,THY7DC,TCSCL,B738,THY,LTFG,LTAC,LTAC,2020-01-01T02:42:00Z,2020-01-01T03:44:00Z,10,303,52,M,S,SXS,NA,NA,NA
0040437520200101,2020-01-01T03:35:00Z,THY711D,TCJIO,A332,THY,OPIS,LTFM,LTFM,2020-01-01T01:45:47Z,2020-01-01T07:15:00Z,10,2216,319,H,S,THY,NA,NA,NA
0040126920200101,2020-01-01T03:55:00Z,LPE2484,CCBGD,B789,LPE,SPJC,LEMD,LEMD,2020-01-01T03:54:00Z,2020-01-01T15:03:38Z,10,5174,660,H,S,LPE,NA,NA,NA
0040520120200101,2020-01-01T04:05:00Z,PGT2061,TCDCM,A320,PGT,LTFG,LTFJ,LTFJ,2020-01-01T04:01:00Z,2020-01-01T05:00:00Z,0,384,59,M,S,PGT,NA,NA,NA
0040639720200101,2020-01-01T04:45:00Z,BBC001,S2AHN,B77W,BBC,VGHS,EGLL,EGLL,2020-01-01T04:57:00Z,2020-01-01T15:41:13Z,10,4586,634,H,S,NA,70204B,NA,NA
0040558620200101,2020-01-01T05:25:00Z,PIA751,APBGJ,B772,PIA,OPIS,ENGM,ENGM,2020-01-01T05:51:00Z,2020-01-01T13:10:24Z,10,2911,429,H,S,NA,7608EA,NA,NA
0040272120200101,2020-01-01T06:00:00Z,AAW974,5AONO,A320,AAW,HLMS,LTFM,LTFM,2020-01-01T06:54:07Z,2020-01-01T09:58:00Z,0,1349,184,M,S,NA,018070,NA,NA
0040749220200101,2020-01-01T06:50:00Z,THY3AJ,TCJFD,B738,THY,LTCB,LTAC,LTAC,2020-01-01T07:12:00Z,2020-01-01T08:02:00Z,5,306,45,M,S,THY,NA,NA,NA
